Unnamed: 0,adm1_en,adm1_pcode,adm2_en,adm2_pcode,adm3_en,adm3_pcode,adm4_en,adm4_pcode,brgy_total_area
262,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Hagdang Bato Libis,PH137401011,0.1446
263,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Addition Hills,PH137401001,1.167
264,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Buayang Bato,PH137401008,0.0827
265,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Highway Hills,PH137401013,1.1577
266,National Capital Region,PH130000000,"NCR, Third District",PH137500000,City of Navotas,PH137503000,San Jose (Pob.),PH137503010,0.7083
267,National Capital Region,PH130000000,"NCR, Fourth District",PH137600000,City of Muntinlupa,PH137603000,Cupang,PH137603004,4.9155
268,National Capital Region,PH130000000,"NCR, Fourth District",PH137600000,City of Muntinlupa,PH137603000,Bayanan,PH137603002,0.9165
269,Region I,PH010000000,Pangasinan,PH015500000,Dagupan City,PH015518000,Calmay,PH015518010,1.2052
270,Region I,PH010000000,Pangasinan,PH015500000,Dagupan City,PH015518000,Barangay II (Nueva),PH015518003,0.1133
271,Region I,PH010000000,Pangasinan,PH015500000,Dagupan City,PH015518000,Caranglaan,PH015518012,1.1139
272,Region I,PH010000000,Pangasinan,PH015500000,Dagupan City,PH015518000,Bonuan Gueset,PH015518009,4.9603
273,Region III,PH030000000,Nueva Ecija,PH034900000,Palayan City,PH034919000,Doña Josefa,PH034919016,13.0375
274,Region III,PH030000000,Nueva Ecija,PH034900000,Palayan City,PH034919000,Popolon Pagas,PH034919021,5.6441
275,Region III,PH030000000,Nueva Ecija,PH034900000,Palayan City,PH034919000,Manacnac,PH034919006,3.1326
276,Region III,PH030000000,Nueva Ecija,PH034900000,Palayan City,PH034919000,Caballero,PH034919014,10.0619
277,Region III,PH030000000,Nueva Ecija,PH034900000,Palayan City,PH034919000,Langka,PH034919018,13.7074
278,Region III,PH030000000,Nueva Ecija,PH034900000,Palayan City,PH034919000,Bo. Militar (Fort Magsaysay),PH034919003,23.9489
279,Region III,PH030000000,Nueva Ecija,PH034900000,Palayan City,PH034919000,Ganaderia,PH034919004,0.4452
280,Region III,PH030000000,Nueva Ecija,PH034900000,Palayan City,PH034919000,Caimito,PH034919015,0.8784
281,Region III,PH030000000,Nueva Ecija,PH034900000,Palayan City,PH034919000,Aulo,PH034919001,10.2282
282,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 43 - Tamaoyan (Bgy. 67),PH050506069,1.1053
283,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 2 - Em's Barrio South (Pob.),PH050506016,0.3626
284,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 70 - Cagbacong (Bgy. 50),PH050506050,13.8477
285,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 13 - Ilawod West Pob. (Ilawod 1),PH050506009,0.0355
286,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 63 - Mariawa (Bgy. 56),PH050506059,4.346
287,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 29 - Sabang (Pob.),PH050506026,0.0482
288,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 41 - Bogtong (Bgy. 45),PH050506046,1.3039
289,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 26 - Dinagaan (Pob.),PH050506023,0.0451
290,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 14 - Ilawod Pob. (Ilawod 2),PH050506010,0.0873
