Unnamed: 0,adm1_en,adm1_pcode,adm2_en,adm2_pcode,adm3_en,adm3_pcode,adm4_en,adm4_pcode,brgy_total_area
431,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Gov. Paciano Bangoy,PH112402181,0.8366
432,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Manuel Guianga,PH112402070,10.0402
433,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Salapawan,PH112402098,29.5693
434,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Atan-Awe,PH112402004,2.8892
435,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Bunawan (Pob.),PH112402022,7.0881
436,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Barangay 36-D (Pob.),PH112402169,0.0638
437,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Kilate,PH112402051,6.6873
438,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Harapin Ang Bukas,PH137401012,0.0478
439,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Vergara,PH137401026,0.1732
440,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Mauway,PH137401017,0.6574
441,National Capital Region,PH130000000,"NCR, Fourth District",PH137600000,City of Muntinlupa,PH137603000,New Alabang Village,PH137603009,6.752
442,National Capital Region,PH130000000,"NCR, Fourth District",PH137600000,City of Muntinlupa,PH137603000,Sucat,PH137603007,2.6653
443,Region I,PH010000000,Pangasinan,PH015500000,Dagupan City,PH015518000,Pogo Grande,PH015518026,0.306
444,Region I,PH010000000,Pangasinan,PH015500000,Dagupan City,PH015518000,Tebeng,PH015518032,0.7862
445,Region I,PH010000000,Pangasinan,PH015500000,Dagupan City,PH015518000,Bonuan Binloc,PH015518007,3.843
446,Region I,PH010000000,Pangasinan,PH015500000,Dagupan City,PH015518000,Carael,PH015518011,2.0531
447,Region I,PH010000000,Pangasinan,PH015500000,Dagupan City,PH015518000,Salapingao,PH015518028,0.6883
448,Region I,PH010000000,Pangasinan,PH015500000,Dagupan City,PH015518000,Bolosan,PH015518006,1.1854
449,Region III,PH030000000,Nueva Ecija,PH034900000,Palayan City,PH034919000,Sapang Buho,PH034919011,1.9044
450,Region III,PH030000000,Nueva Ecija,PH034900000,Palayan City,PH034919000,Atate,PH034919013,6.1463
451,Region III,PH030000000,Nueva Ecija,PH034900000,Palayan City,PH034919000,Santolan,PH034919020,3.4839
452,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 38 - Gogon (Bgy. 54),PH050506055,0.9027
453,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 21 - Binanuahan West (Pob.),PH050506018,0.0459
454,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 28 - Victory Village North (Pob.),PH050506025,0.0616
455,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 24 - Rizal Street,PH050506073,0.1596
456,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 46 - San Joaquin (Bgy. 64),PH050506066,0.6977
